120,Summer,Sa,Jun,20,12,9,6.75
121,Fall,Sa,Oct,31,8,2,8
122,Spring,M,May,25,9,20,180
123,Fall,Th,Oct,1,18,9,2.25
124,Summer,M  Tu  W  Th  F,Jul,27,9,2,22.5
125,Fall,W,Sep,30,15,9,9
126,Spring,Su  M  Tu  W  Th  F  Sa,Mar,23,12,14,111.5
127,Winter,Su  W  F  Sa,Jan,7,19,12,63
128,Summer,W,Jul,8,19,8,8
129,Spring,Tu,Mar,31,19,11,11
130,Winter,Sa,Jan,3,18,9,4.5
131,Fall,Tu,Oct,6,19,9,13.5
132,Winter,Su,Jan,4,9,9,2.25
133,Summer,Tu,Jul,7,19,9,13.5
134,Spring,M,Mar,30,13,9,4.5
135,Spring,Sa,Mar,28,9,9,22.5
136,Summer,F,Jul,3,9,9,9
137,Summer,M,Jun,29,18,7,3.5
138,Summer,M  W  F,Jun,22,19,4,8
139,Winter,F,Jan,9,17,10,25
140,Spring,F,Jun,12,16,1,6
141,Spring,F,Apr,10,9,9,18
142,Fall,Su,Sep,27,11,9,6.75
143,Spring,W,Apr,8,17,9,13.5
144,Spring,W,Apr,1,16,10,15
145,Winter,F,Jan,9,10,9,22.5
146,Spring,Tu,Apr,7,9,12,36
147,Fall,F,Oct,2,18,12,45
148,Winter,M  Tu  W  F,Dec,29,11,12,136.75
149,Winter,Su  M  Tu  W  Th  F  Sa,Jan,5,7,14,390.4166565
150,Summer,M  W,Aug,31,19,4,7
151,Spring,M,Mar,30,18,12,15
152,Summer,Tu  Th,Jul,9,9,13,26
153,Fall,M,Sep,28,18,9,10
154,Spring,F,Apr,10,10,9,6.75
155,Winter,Su  M  Tu,Jan,5,18,11,57.75
156,Winter,M,Jan,5,16,9,8
157,Spring,Sa,Apr,4,13,9,11.25
158,Summer,Tu  W  Th,Jul,28,9,1,9
159,Winter,Sa,Jan,24,13,9,6.75
160,Spring,M,Apr,13,9,10,18
161,Summer,Tu,Jun,30,18,9,6.75
162,Spring,Tu  Th,May,5,20,4,12
163,Winter,Sa,Jan,10,18,9,9
164,Winter,Tu  Th,Jan,6,10,10,30
165,Spring,Su  Sa,Apr,4,19,12,31.5
166,Fall,Su,Oct,18,12,9,4.5
167,Spring,Tu,Apr,7,19,12,18
168,Spring,Tu,Apr,14,17,9,9
169,Spring,W,Apr,1,8,9,4.5
170,Summer,M  Tu  W  Th  F,Jul,2,9,2,3.5
171,Winter,M,Jan,5,10,12,11
172,Summer,M  Tu  W  Th,Jul,27,19,2,3.5
173,Spring,M,Mar,30,13,9,15
174,Winter,Sa,Jan,3,9,9,24.75
175,Spring,W,Apr,8,13,9,18
176,Spring,Th,Apr,2,11,7,7
177,Spring,Sa,Mar,28,13,10,25
178,Summer,Su  M  Tu  W  Th  F  Sa,Jun,20,10,12,665.25
179,Fall,M,Sep,21,17,9,4.5
180,Summer,Th,Jul,2,10,8,8
181,Summer,M,Jun,22,10,9,13.5
182,Summer,M  Tu  W  Th  F,Jun,30,9,2,2
183,Winter,Sa,Jan,10,9,11,11
184,Spring,Sa,Apr,4,15,9,4.5
185,Winter,Sa,Jan,10,13,9,4.5
186,Fall,Su  Tu  Th  Sa,Oct,1,12,14,45
187,Spring,Su,May,24,13,1,3
188,Fall,F,Oct,2,16,9,9
189,Fall,M,Sep,28,9,9,2.25
190,Spring,Sa,Apr,4,20,13,18.41666603
191,Winter,M  Tu  W  Th,Mar,16,14,1,4
192,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,12,11,439.5
193,Spring,Th,Apr,2,20,9,9
194,Fall,Tu,Sep,29,17,9,20.25
195,Winter,Sa,Mar,14,11,1,1
196,Winter,Sa,Jan,17,11,9,6.75
197,Fall,Sa,Oct,31,18,1,1
198,Winter,Sa,Feb,14,13,4,16
199,Winter,Tu,Jan,6,9,9,54
200,Winter,F,Jan,9,11,12,24
201,Summer,M  Tu  W  Th  F,Jul,13,8,2,20.25
202,Fall,W,Sep,30,20,9,4.5
203,Fall,Sa,Sep,26,12,10,5
204,Summer,Tu,Jul,7,19,9,18
205,Spring,Tu,Apr,7,18,9,6.75
206,Fall,Su  M  Tu  W  Th  F  Sa,Sep,26,10,12,1112
207,Fall,Su  Th  Sa,Oct,1,19,12,75
208,Winter,W,Jan,14,11,10,10
209,Summer,Tu  Th,Sep,1,17,4,8
210,Fall,Su,Oct,4,13,9,10
211,Fall,Th,Oct,1,18,12,18
212,Spring,W,Apr,15,19,9,9
213,Winter,Sa,Jan,17,9,11,11
214,Winter,W,Jan,7,18,9,11.25
215,Fall,M  Tu  W,Dec,28,12,1,6
216,Spring,M,Mar,30,18,9,13.5
217,Summer,M,Jul,20,9,13,10
218,Winter,Su  M  Tu  W  Th  F  Sa,Mar,16,15,1,16.5
219,Winter,Sa,Jan,24,12,10,47
220,Summer,M  Tu  W  Th  F  Sa,Jul,1,12,12,279
221,Summer,Th,Jul,9,19,6,6
222,Spring,W,Apr,8,17,8,12
223,Fall,Th  F,Oct,2,13,9,13.5
224,Fall,W,Sep,16,15,14,28
225,Summer,Tu  Th,Jul,30,16,5,2.25
226,Spring,Tu,May,5,16,9,11.25
227,Winter,Su  F  Sa,Jan,9,18,12,72
228,Fall,M,Sep,28,18,10,6.75
229,Fall,Su,Oct,11,9,9,9
230,Fall,Su,Oct,18,13,11,11
231,Fall,Su  F,Sep,27,11,9,13.5
232,Fall,Su,Sep,27,14,9,13.5
233,Fall,Su  Sa,Sep,13,11,17,43
234,Spring,Su,Apr,5,13,9,9
235,Winter,Tu  W  Th,Jan,7,17,12,28
236,Summer,Th,Jul,2,11,8,6
237,Spring,Tu,Jun,2,17,12,12
238,Fall,Su  M  Tu  W  Th  F,Nov,29,18,5,142.25
239,Spring,Tu,Apr,7,18,6,6
240,Winter,M,Jan,5,17,9,13.5
241,Winter,Sa,Jan,17,10,13,13
242,Summer,W,Jul,8,9,9,9
243,Fall,Th,Oct,8,9,10,30
244,Winter,Th,Feb,26,18,1,2
245,Spring,M  W  F,Mar,30,18,9,44
246,Spring,Sa,Mar,28,11,12,18
247,Fall,M,Dec,21,14,2,2
248,Spring,Sa,Apr,4,15,9,13.5
249,Winter,F,Jan,9,18,12,18
250,Winter,Th,Feb,12,18,1,2
251,Fall,W,Sep,30,18,9,27
252,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,12,11,425.75
253,Summer,M  W  Sa,Jul,1,19,9,39.75
254,Fall,F,Oct,9,10,9,4.5
255,Summer,M  W,Aug,5,19,4,4
256,Summer,Su,Jul,5,9,8,4
257,Summer,Tu,Jun,30,20,9,18
258,Winter,W,Jan,7,13,9,2.25
259,Fall,Su,Oct,4,13,12,48
260,Winter,M,Jan,12,9,11,15
261,Spring,M,Mar,30,10,8,4
262,Winter,F,Jan,9,17,9,8.25
263,Summer,Sa,Aug,22,17,1,1
264,Spring,W,Apr,1,12,13,29.25
265,Spring,W,May,6,19,9,9
266,Spring,M,Apr,13,17,10,7.5
267,Fall,F,Oct,16,15,9,13.5
268,Fall,Tu,Sep,29,10,13,24
269,Spring,Su  M  Th  Sa,Mar,30,18,13,76
270,Fall,Su,Sep,27,12,9,6.75
271,Spring,Su,Apr,5,10,8,4
272,Winter,F,Jan,9,12,11,22
273,Winter,Th,Jan,8,9,11,16.5
274,Spring,Sa,Mar,28,11,11,22
275,Summer,Th,Jul,2,9,9,9
276,Winter,Th,Jan,8,17,7,5.25
277,Spring,Th,Apr,2,9,12,12
278,Spring,M,Apr,13,10,10,15
279,Winter,W,Jan,7,11,12,26.58333397
280,Fall,M,Oct,5,13,6,9
281,Winter,Th,Jan,15,18,9,11.25
282,Winter,Su  M  Tu  W  Th  F  Sa,Jan,3,5,10,1230
283,Fall,Sa,Dec,5,13,1,1.5
284,Winter,F,Jan,9,18,12,11
285,Fall,M,Oct,5,19,9,8
286,Winter,M,Jan,5,19,12,24.75
287,Winter,Th,Feb,12,18,9,3.5
288,Fall,Su  Sa,Oct,3,15,9,12.75
289,Summer,F,Jul,3,9,11,11
290,Summer,M,Jun,22,13,9,9
291,Winter,Su  M  Tu  W  Th  F  Sa,Jan,1,12,8,359
292,Fall,M,Sep,28,18,12,36
293,Spring,Tu,Mar,31,17,9,13.5
294,Spring,Tu,Mar,24,9,12,13.5
295,Spring,W  Sa,Apr,1,10,9,36
296,Winter,F,Jan,9,20,11,19.25
297,Spring,Su  Sa,Apr,5,11,5,9
298,Spring,Su  F  Sa,Apr,10,18,12,70
299,Spring,M  W,Mar,30,18,12,44
300,Fall,Su,Sep,27,9,9,2.25
301,Fall,W,Sep,23,13,9,9
302,Fall,Tu,Sep,29,17,21,9.5
303,Spring,M  W,Apr,8,10,5,4.5
304,Summer,M  Tu  W  Th  F,Jul,27,18,2,24.75
305,Winter,W,Jan,7,15,12,18
306,Summer,M  Tu  W  Th  F,Jul,6,10,1,5
307,Spring,Su,Apr,5,14,9,20.25
308,Summer,Su,Jun,28,12,9,9
309,Fall,W,Sep,30,18,18,9
310,Fall,Su,Oct,11,10,9,6.75
311,Winter,Su,Jan,4,18,8,6
312,Fall,Su  M  Tu  W  Th  Sa,Dec,21,9,2,134.25
313,Winter,Th,Jan,15,19,9,4.5
314,Spring,Th,Apr,2,21,7,7
315,Spring,Th,Apr,2,9,12,18
316,Summer,M  W  Th  F,Jun,29,9,1,21
317,Summer,Su  M  Tu  W  Th  F  Sa,Jun,29,7,12,704.5
318,Winter,Sa,Jan,10,10,11,11
319,Fall,F,Oct,9,9,9,4.5
320,Fall,Th,Oct,1,18,9,6.75
321,Winter,W  Th  F  Sa,Jan,7,20,13,55
322,Winter,Tu  W  Th  F,Mar,17,10,1,6
323,Fall,F,Oct,16,18,9,9
324,Spring,M,Mar,30,20,8,4
325,Winter,Su,Apr,5,11,9,4.5
326,Summer,M  Tu  W  Th  F,Jun,30,11,9,32
327,Spring,F,Apr,10,20,9,9
328,Summer,M  Tu  W  Th  F,Aug,10,15,2,2.25
329,Winter,M  W,Jan,5,19,4,6
330,Spring,Sa,Apr,11,10,9,4.5
331,Spring,W,Apr,1,17,11,11
332,Winter,M  Tu  W  Th  F,Jan,5,12,9,44
333,Fall,Tu,Oct,6,10,9,2.25
